Date,Income/Expenses,Category,Memo,Amount
2026-06-01,Expenses,Bills,idfc cc bill,-19910.8
2026-06-01,Income,Salary,carry forward ,165708
2026-05-28,Expenses,Home,raghav,-7000
2026-05-26,Expenses,papa,mummy,-1800
2026-05-26,Expenses,Others,miscellaneous ,-3000
2026-05-26,Expenses,Home,kritte ,-15000
2026-05-22,Expenses,Bills,electricity ,-390
2026-05-18,Expenses,Transportation,car fix 6000 given by papa . total 11k,-5000
2026-05-12,Expenses,Home,,-850
2026-05-11,Expenses,Others,missing difference 😔,-15051
2026-05-05,Expenses,Health,,-620
2026-05-03,Expenses,Baby,gold,-30000
2026-05-02,Expenses,investment ,total investment sip,-4000
2026-05-02,Expenses,Insurance,term 1291,-1500
2026-05-02,Expenses,Home,pune emi,-17527
2026-05-02,Expenses,papa,mummy,-2000
2026-05-02,Expenses,papa,papa,-15000
2026-05-02,Expenses,Home,ac for gkp home,-28430
2026-05-02,Expenses,Home,"ifdc cc bill, 9k gold kheel, 2.5 k gold + silver etc. 4k petrol etc",-20617
2026-05-02,Income,Salary,salary+ last month+ interest on svb,172373
2026-04-30,Expenses,Transportation,car battery ,-6000
2026-04-28,Expenses,papa,kritte ,-1000
2026-04-25,Expenses,papa,kritte,-400
2026-04-24,Expenses,Home,maintince ,-5974
2026-04-24,Expenses,Others,curry junction+ lighter+ cover Case for bua,-1113
2026-04-24,Income,Refunds,naukri.com,1500
2026-04-24,Expenses,Social,neha n kritee 300 n 500,-800
2026-04-24,Expenses,Home,electric bill pune,-233
2026-04-24,Expenses,Baby,term plan axis premium ,-1279
2026-04-24,Expenses,papa,cash for pinkey and baba hospital booking,-2000
2026-04-24,Expenses,Electronics,ac pin,-90
2026-04-24,Expenses,Electronics,ac installation ,-1800
2026-04-24,Expenses,investment ,mutual fund,-500
2026-04-14,Expenses,Others,,-540
2026-04-11,Expenses,investment ,,-50000
2026-04-11,Expenses,Home,home loan extra,-35000
2026-04-10,Expenses,Home,,-17527
2026-04-09,Expenses,papa,mummy,-2000
2026-04-06,Expenses,Gift,kriti ,-300
2026-04-06,Expenses,investment ,,-4000
2026-04-03,Expenses,Food,,-230
2026-04-02,Expenses,papa,,-15000
2026-04-02,Expenses,Bills,idfc cc bill,-13500
2026-04-01,Expenses,Baby,impulse buy ,-758
2026-04-01,Expenses,Health,,-100
2026-04-01,Expenses,Food,,-20
2026-04-01,Expenses,Transportation,,-260
2026-04-01,Income,Salary,,164907
2026-02-20,Expenses,Bills,3 month naukri subscription ,-1500
2026-02-17,Expenses,Others,cash+ misc expl,-2500
2026-02-17,Expenses,Gift,term insurance ,-1279
2026-02-17,Expenses,Bills,electric ,-740
2026-02-15,Expenses,Entertainment,,-567
2026-02-12,Expenses,Bills,,-2691
2026-02-10,Expenses,Home,home emi,-17527
2026-02-06,Expenses,Home,hotel stay,-1500
2026-02-05,Expenses,Transportation,fast tag,-3000
2026-02-05,Expenses,investment ,mf,-2500
2026-02-03,Expenses,investment ,mf,-1500
2026-02-03,Expenses,papa,,-15000
2026-02-02,Income,Salary,,227543
2026-01-21,Expenses,Bills,idfc cc,-34000
2026-01-19,Expenses,Gift,mummy,-3700
2026-01-16,Expenses,Bills,axis cc,-991
2026-01-16,Expenses,Bills,electric bill,-760
2026-01-16,Expenses,Others,investment ,-15000
2026-01-16,Expenses,Baby,doctor fees,-600
2026-01-16,Expenses,Baby,dawai,-1443
2026-01-05,Expenses,Home,extra on home loan,-17879
2026-01-01,Expenses,Home,home loan emi,-17527
2026-01-01,Expenses,Home,30% of total and final payment ,-17640
2026-01-01,Expenses,Home,remaining of 70% of grill etx,-30160
2026-01-01,Expenses,papa,,-15000
2026-01-01,Expenses,Bills,idfc cc bill,-10000
2026-01-01,Income,Salary,,227669
2025-12-28,Expenses,Bills,axis,-734
2025-12-28,Expenses,Bills,advance for girll and safety door,-11000
2025-12-15,Expenses,Clothing,baby cloth,-2094
2025-12-14,Expenses,Transportation,,-340
2025-12-10,Expenses,Home,home loan emi,-17527
2025-12-07,Expenses,Home,6 months maintaininance,-11830
2025-12-06,Expenses,Shopping,gas,-582
2025-12-06,Expenses,Food,,-165
2025-12-05,Expenses,Baby,dkc checking ,-600
2025-12-05,Expenses,Bills,house help,-3000
2025-12-03,Expenses,Bills,idfc cc bill. for hospitalisation paid early,-75000
2025-12-03,Expenses,Gift,"kritee, sent to papa",-80000
2025-12-03,Expenses,Home,papa,-15000
2025-12-01,Expenses,Shopping,gadda ,-550
2025-12-01,Expenses,Bills,idfc cc bill,-12000
2025-12-01,Income,Salary,last month + salary,217333
2025-11-28,Expenses,Baby,baby cloth ,-1722
2025-11-28,Expenses,Baby,blood reservation charges ,-700
2025-11-25,Expenses,Transportation,petrol,-2000
2025-11-25,Expenses,Baby,doctor ,-1300
2025-11-24,Expenses,Bills,electrcity,-660
2025-11-22,Expenses,Baby,,-700
2025-11-19,Expenses,Food,gas,-580
2025-11-19,Expenses,Baby,,-1293
2025-11-18,Expenses,Baby,medicine ,-81
2025-11-18,Expenses,Baby,,-2800
2025-11-17,Expenses,Home,loan extra,-1752
2025-11-17,Expenses,Transportation,,-2000
2025-11-10,Expenses,Shopping,exhaust fan .  door bell.  gyser fix etc,-5090
2025-11-09,Expenses,Food,cook,-1500
2025-11-08,Expenses,Transportation,ticket platform p,-20
2025-11-08,Expenses,Baby,medical fee,-600
2025-11-08,Expenses,Food,nariyal pani,-240
